title,rating,stars
立功·东北旧事,7.6分,范伟 / 余男 / 潘斌龙 / 种丹妮 / 袁晶 / 韩彦博 / 刘冠成 / 罗辑 / 宝石gem / 孙宁 / 曹瑞 / 张百乔 / 李会长
夜城赋,8.0分,"袁昊,嘉泽,李哲豪,彭雅琦,孙熹之,张彤,徐百慧,张媛钰,曹明悦,薛卉葳,书亚信,杨智迪,苏宇航,马明宇,熊小小,訾纯子,张舒越,张梦茹"
彩门令,6.7分,张思帆 / 尚璇 / 祖怀 / 韩若言
烽火硝烟里的青春,6.0分,内详
偶然互换的一天,6.0分,俐乐 / 陈诗敏 / 王昊泽 / 房蕾 / 艾易
超少年密码,7.4分,"王俊凯,王源,易烊千玺,林墨,丁程鑫,王祖蓝,钟镇涛"
神经风云,7.0分,刘瑜峰 / 李沐宸 / 句号 / 詹瑞文 / 那聖岩 / 原雨 / 郭星冶 / 杨强 / gaby潇潇 / 吴晶
这个家丁路子野,6.0分,宋恺 邵雅涵 戴安娜
显微镜下的大明之丝绢案,6.0分,"张若昀,王阳,戚薇,吴刚,高亚麟,费启鸣,侯岩松,翟小兴,房子斌,王同辉,汤梦佳,尹铸胜,张帆,钱漪"
今生也是第一次,7.0分,"王子文,唐艺昕,胡杏儿,艾伦,刘凯,马志威"
皇朝太医,7.5分,"孙耀威,任泉,罗海琼,李立群,李小冉,许还幻,王德顺,张茜"
长生怪谈簿,7.0分,季美含 / 常斌 / 麦童 / 金钊 / 刘广楠 / 王泽霖
光·渊,7.0分,"张新成,付辛博,赵志伟,刘一宏,肖雨,张歆怡,耿嘉唯,龙政璇,章申,郑玉,马跃,薛佳凝,柴蔚,于波,由立平,高子沣,丁海峰,张隽溢,杜志国,文静,许榕真,庞瀚辰,蒋龙"
夜叉新娘,8.0分,许诗诗 鲁昊 蓝逸伦
动物管理局,7.7分,"陈赫,王子文,唐晓天,孔宋今,黄一琳,谭泉,黄天元,龙斌,郭京飞,凤小岳,张子贤,陈芋米"
战长沙,9.1分,"霍建华,杨紫,左小青,任程伟,牛骏峰"
最美的时光,6.0分,"钟汉良,张钧甯,贾乃亮,韩熙庭"
打开生活的正确方式,8.0分,"黄渤,梅婷,朱珠,田雨,孙坚,邹元清,刘海蓝,荣梓杉"
武林有侠气,5.9分,"李宏毅,黄日莹,朱赞锦,漆培鑫,张欣颜,李星辰,王新乔,江鹏"
乡村爱情15,7.8分,"赵本山,毕畅,唐鉴军,王小利,贺树峰,刘小光,田娃,宋晓峰,于月仙"
微笑妈妈,8.0分,"王雅捷,宋佳伦,王挺,王丽云"
二见钟情,7.3分,内详
择君记,9.5分,"张雪迎,邢昭林,王以纶,上淇,李梦颖,虞祎杰,蒙恩,岳旸,赵柯"
一见又倾心,8.0分,郭鑫蕊 / 沈照程
庆余年,7.9分,"张若昀,李沁,陈道明,吴刚,郭麒麟,李小冉,肖战,宋轶,于荣光,王阳,李纯,田雨,刘桦,于小伟"
家有儿女,8.8分,"宋丹丹,高亚麟,张一山,杨紫"
大宋提刑官,9.2分,"何冰,罗海琼,谢兰,王海燕,郭达,沈傲君,范伟,苗圃,杜志国,何政军,午马,严顺开,郭冬临,牛犇,凌峰,洪剑涛,雷恪生,艾丽娅,赵亮,岳丽娜,周舟"
士兵突击,9.3分,"陈思诚,王宝强,张译,李晨,段奕宏,邢佳栋,范雷,罗京民,王大治,高峰,张国强,李博,刘天佐,李泓良,李京,陈文波,李胜荣,曹克难,"
陈情令,7.9分,"肖战,王一博,孟子义"
后宫·甄嬛传,9.1分,"孙俪,陈建斌,蔡少芬,李东学"
亮剑,9.3分,"李幼斌,何政军,张光北,童蕾,孙俪,战卫华,陆彭,张桐,由力,王全有,张笑君,梁林琳,杨联春,车晓彤,陈艺戈,江水,宗利群,张伟,陈旺林,袁满,张国荣,董祁明,王炎冰,蔡小龙,徐雷智,田勇,郭苏星,田春山,荣钦,柴孛志,赵中华,李江,张建祥,孟耿成,陈增祺,寒丰,袁乃旗,韩建平,常玉平,那志东"
人民的名义,8.3分,"陆毅,柯蓝,张丰毅,吴刚"
武林外传,9.5分,"闫妮,姚晨,沙溢,喻恩泰,姜超,倪虹洁,王莎莎,范明,肖剑,于娟,张歆艺,张青,吴明鸿,张少华,霍曼迪,黄小蕾,徐贤海,梁振亚,刘亚津,郑美林,王磊,俞白眉,王庆,刘向东,全权,刘旭,张跃,甄麦娟,刘敏,蒋卉,唐静,娄茗,沈怀玲,杨树泉,曾惠,王彦波,王修浩,裴庆臣,胡宁芳,洪剑涛,田玲,宁财神,程娇娥,王超,许可,唐浚,王向明,陈铮,吴京安,安佰平,李业勇,柳长海,邓峰,齐俊生,帅华生,郭振营,马爱国,马怀平,毛孩,周炜,林永健,朱龙广,张滨,赵金鼎,王红波,刘惠,商子见,张茜,李明辉,许翔宇,李景琛,"
琅琊榜,9.3分,"胡歌,刘涛,王凯,陈龙,黄维德,靳东,高鑫,张棪琰,张龄心,王鸥,周奇奇,吴磊,张晓谦,郑毓芝,丁勇岱,王劲松,刘奕君,刘敏涛,程枫,郭晓然,匡牧野,陈丽娜,宁文彤,杨雨婷,谭希和,方晓莉,张哲瀚,钟卫华,张雨剑,乔欣,王永泉,魏伟,王宏,赵一龙,卢杉,刘冠霖"
四时好,8.7分,胡丹丹 / 程宇峰 / 张东梓 / 赖禧龙
特种兵之火凤凰,7.0分,"徐佳,刘晓洁,安雅萍,程愫,杨舒,任柯诺,赵荀,李飞,郝率,万茜,甘露,童苡萱,洪卫,姜艺声,何达,闪媛媛,郭艳,侯勇,刘金山,任天野,吴京安"
李小环与苗翠花,8.0分,"郭霭明,田海蓉,谭耀文"
耀眼的你啊,4.5分,"殷桃,刘以豪,任重,王媛可,施诗,王策,刘莉莉,岳跃利,张澍,吕晨悦,王雨,袁文康,段星星,孔琳"
君子盟,8.7分,井柏然 / 宋威龙 / 郭丞 / 洪尧 / 汪铎 / 张舒沦
